"Veteran Suicides by State of Death, 2001-2021",,,
"Year
of
Death","Geographic
Region",State of Death,"Veteran
Suicides"
2006,Southern,West Virginia,57
2006,Western,Alaska,27
2006,Western,Arizona,201
2006,Western,California,540
2006,Western,Colorado,126
2006,Western,Hawaii,15
2006,Western,Idaho,42
2006,Western,Montana,49
2006,Western,Nevada,104
2006,Western,New Mexico,61
2006,Western,Oregon,122
2006,Western,Utah,48
2006,Western,Washington,147
2006,Western,Wyoming,20
2006,All,U.S. Total,"6,035"
2007,Northeastern,Connecticut,35
2007,Northeastern,Maine,40
2007,Northeastern,Massachusetts,71
2007,Northeastern,New Hampshire,41
2007,Northeastern,New Jersey,78
2007,Northeastern,New York,179
2007,Northeastern,Pennsylvania,262
2007,Northeastern,Rhode Island,20
2007,Northeastern,Vermont,17
2007,Midwestern,Illinois,165
2007,Midwestern,Indiana,144
2007,Midwestern,Iowa,63
2007,Midwestern,Kansas,77
2007,Midwestern,Michigan,203
2007,Midwestern,Minnesota,107
2007,Midwestern,Missouri,138
2007,Midwestern,Nebraska,30
2007,Midwestern,North Dakota,23
2007,Midwestern,Ohio,265
2007,Midwestern,South Dakota,19
2007,Midwestern,Wisconsin,113
2007,Southern,Alabama,107
2007,Southern,Arkansas,81
2007,Southern,Delaware,11
2007,Southern,District of Columbia,<10
2007,Southern,Florida,545
2007,Southern,Georgia,200
2007,Southern,Kentucky,127
2007,Southern,Louisiana,83
2007,Southern,Maryland,91
2007,Southern,Mississippi,75
2007,Southern,North Carolina,195
2007,Southern,Oklahoma,103
2007,Southern,South Carolina,112
2007,Southern,Tennessee,156
2007,Southern,Texas,406
2007,Southern,Virginia,178
2007,Southern,West Virginia,66
2007,Western,Alaska,28
2007,Western,Arizona,200
2007,Western,California,534
2007,Western,Colorado,162
2007,Western,Hawaii,21
2007,Western,Idaho,42
2007,Western,Montana,48
2007,Western,Nevada,96
2007,Western,New Mexico,90
2007,Western,Oregon,136
2007,Western,Utah,58
2007,Western,Washington,178
2007,Western,Wyoming,25
2007,All,U.S. Total,"6,249"
2008,Northeastern,Connecticut,42
2008,Northeastern,Maine,37
2008,Northeastern,Massachusetts,71
2008,Northeastern,New Hampshire,34
2008,Northeastern,New Jersey,88
2008,Northeastern,New York,216
2008,Northeastern,Pennsylvania,299
2008,Northeastern,Rhode Island,17
2008,Northeastern,Vermont,21
2008,Midwestern,Illinois,195
2008,Midwestern,Indiana,176
2008,Midwestern,Iowa,65
2008,Midwestern,Kansas,57
2008,Midwestern,Michigan,194
2008,Midwestern,Minnesota,102
2008,Midwestern,Missouri,143
2008,Midwestern,Nebraska,35
2008,Midwestern,North Dakota,10
2008,Midwestern,Ohio,253
2008,Midwestern,South Dakota,17
2008,Midwestern,Wisconsin,135
2008,Southern,Alabama,120
2008,Southern,Arkansas,86
2008,Southern,Delaware,16
2008,Southern,District of Columbia,<10
2008,Southern,Florida,560
2008,Southern,Georgia,187
2008,Southern,Kentucky,115
2008,Southern,Louisiana,98
2008,Southern,Maryland,94
2008,Southern,Mississippi,83
2008,Southern,North Carolina,208
2008,Southern,Oklahoma,123
2008,Southern,South Carolina,110
2008,Southern,Tennessee,164
2008,Southern,Texas,454
2008,Southern,Virginia,174
2008,Southern,West Virginia,48
2008,Western,Alaska,21
2008,Western,Arizona,194
2008,Western,California,619
2008,Western,Colorado,173
2008,Western,Hawaii,19
2008,Western,Idaho,59
2008,Western,Montana,49
2008,Western,Nevada,132
2008,Western,New Mexico,62
2008,Western,Oregon,125
2008,Western,Utah,52
